product_id	product_brand	product_name	product_retail_price	product_cost
1	Washington	Washington Berry Juice	2.85	0.94
2	Washington	Washington Mango Drink	0.74	0.26
3	Washington	Washington Strawberry Drink	0.83	0.4
4	Washington	Washington Cream Soda	3.64	1.64
5	Washington	Washington Diet Soda	2.19	0.77
6	Washington	Washington Cola	1.15	0.37
7	Washington	Washington Diet Cola	2.61	0.91
8	Washington	Washington Orange Juice	2.59	0.8
9	Washington	Washington Cranberry Juice	2.42	0.77
10	Washington	Washington Apple Juice	1.42	0.5
11	Washington	Washington Apple Drink	3.51	1.65
12	Jeffers	Jeffers Oatmeal	1.54	0.69
13	Jeffers	Jeffers Corn Puffs	2.65	1.27
14	Jeffers	Jeffers Wheat Puffs	1.93	0.71
15	Jeffers	Jeffers Grits	2.29	1.08
16	Blue Label	Blue Label Canned Beets	3.83	1.72
17	Blue Label	Blue Label Creamed Corn	2.99	1.5
18	Blue Label	Blue Label Canned String Beans	2.67	1.17
19	Blue Label	Blue Label Chicken Soup	3.19	1.47
20	Blue Label	Blue Label Canned Yams	2.78	0.92
21	Blue Label	Blue Label Vegetable Soup	2.33	0.89
22	Blue Label	Blue Label Canned Tomatos	2.29	0.98
23	Blue Label	Blue Label Noodle Soup	1.75	0.56
24	Blue Label	Blue Label Regular Ramen Soup	1.73	0.52
25	Blue Label	Blue Label Chicken Noodle Soup	1.55	0.7
26	Blue Label	Blue Label Turkey Noodle Soup	0.88	0.37
27	Blue Label	Blue Label Beef Soup	2.65	1.11
28	Blue Label	Blue Label Canned Peas	3.91	1.64
29	Blue Label	Blue Label Chicken Ramen Soup	1.78	0.62
30	Blue Label	Blue Label Canned Tuna in Water	1.41	0.45
31	Blue Label	Blue Label Canned Tuna in Oil	1.55	0.74
32	Blue Label	Blue Label Large Canned Shrimp	2.86	0.89
33	Blue Label	Blue Label Fancy Canned Anchovies	1.36	0.49
34	Blue Label	Blue Label Fancy Canned Clams	1.69	0.78
35	Blue Label	Blue Label Fancy Canned Oysters	2.21	1.02
36	Blue Label	Blue Label Fancy Canned Sardines	1.8	0.88
37	Blue Label	Blue Label Rice Soup	1.59	0.48
38	Green Ribbon	Green Ribbon Canned Mixed Fruit	1.31	0.62
39	Green Ribbon	Green Ribbon Canned Peaches	3.11	1.09
40	King	King Rosy Sunglasses	0.99	0.47
41	Queen	Queen Eyeglass Screwdriver	0.89	0.37
42	Queen	Queen City Map	2.82	1.04
43	Club	Club Low Fat Cottage Cheese	1.67	0.55
44	Club	Club Low Fat Sour Cream	2.93	1.08
45	Club	Club Sour Cream	0.53	0.25
46	Club	Club Jack Cheese	3.44	1.38
47	Club	Club Muenster Cheese	2.57	1.23
48	Club	Club String Cheese	1.88	0.79
49	Club	Club Low Fat String Cheese	3.38	1.42
50	Club	Club Havarti Cheese	3.95	1.94
51	Club	Club Head Cheese	1.47	0.44
52	Club	Club Cheese Spread	2.17	0.91
53	Club	Club Sharp Cheddar Cheese	3.61	1.77
54	Club	Club Mild Cheddar Cheese	2.93	1.35
55	Club	Club Large Curd Cottage Cheese	3.5	1.51
56	Club	Club 2% Milk	0.71	0.28
57	Club	Club Buttermilk	0.61	0.29
58	Club	Club Chocolate Milk	2.31	0.69
59	Club	Club 1% Milk	1.4	0.55
60	Club	Club Whole Milk	2.66	1.2
61	Club	Club Strawberry Yogurt	0.74	0.37
62	Club	Club Blueberry Yogurt	3.82	1.72
63	Red Spade	Red Spade Chicken Hot Dogs	2.95	0.91
64	Red Spade	Red Spade Pimento Loaf	1.61	0.58
65	Red Spade	Red Spade Beef Bologna	3.76	1.54
66	Red Spade	Red Spade Low Fat Bologna	3.44	1.62
67	Red Spade	Red Spade Turkey Hot Dogs	1.86	0.91
68	Red Spade	Red Spade Foot-Long Hot Dogs	3.56	1.6
69	Red Spade	Red Spade Low Fat Cole Slaw	3.1	1.09
70	Red Spade	Red Spade Cole Slaw	0.97	0.42
71	Red Spade	Red Spade Roasted Chicken	2.76	1.27
72	Red Spade	Red Spade Corned Beef	2.74	1.01
73	Red Spade	Red Spade Sliced Turkey	2.33	0.82
74	Red Spade	Red Spade Sliced Ham	1.57	0.61
75	Red Spade	Red Spade Potato Salad	0.68	0.24
76	Red Spade	Red Spade Sliced Chicken	1.69	0.69
77	Blue Medal	Blue Medal Small Brown Eggs	2.8	1.12
78	Blue Medal	Blue Medal Large Brown Eggs	2.19	0.92
79	Blue Medal	Blue Medal Small Eggs	1.32	0.54
80	Blue Medal	Blue Medal Large Eggs	3.63	1.42
81	Blue Medal	Blue Medal Egg Substitute	2.13	0.87
82	Golden	Golden Low Fat Waffles	2.7	1.19
83	Golden	Golden Orange Popsicles	3.88	1.63
84	Golden	Golden Frozen Chicken Breast	2.81	1.29
85	Golden	Golden Frozen Pancakes	1.36	0.54
86	Golden	Golden Low Fat French Fries	2.97	1.4
87	Golden	Golden Frozen Sausage Pizza	1.78	0.71
88	Golden	Golden Blueberry Waffles	0.86	0.34
89	Golden	Golden Fajita French Fries	1.59	0.62
90	Golden	Golden Waffles	0.77	0.24
91	Golden	Golden Frozen Pepperoni Pizza	2.68	1.34
92	Golden	Golden Frozen Cheese Pizza	0.83	0.31
93	Golden	Golden Frozen Mushroom Pizza	0.96	0.37
94	Golden	Golden Apple Cinnamon Waffles	0.62	0.25
95	Golden	Golden Frozen Carrots	1.46	0.69
96	Golden	Golden Turkey TV Dinner	2.11	0.91
97	Golden	Golden Chicken TV Dinner	0.59	0.28
98	Golden	Golden Beef TV Dinner	1.83	0.79
99	Golden	Golden Pancake Mix	2.36	1.09
100	Golden	Golden Grape Popsicles	1.95	0.62
101	Golden	Golden Home Style French Fries	0.72	0.26
102	Golden	Golden Lime Popsicles	2.45	0.81
103	Golden	Golden Ice Cream	0.95	0.41
104	Golden	Golden Ice Cream Sandwich	3.89	1.59
105	Golden	Golden Frozen Cauliflower	3.72	1.67
106	Golden	Golden Frozen Broccoli	2.96	1.39
107	Golden	Golden Frozen Corn	1.81	0.8
108	Golden	Golden Frozen Peas	2.19	1.01
109	Golden	Golden Popsicles	3.95	1.38
110	Golden	Golden Frozen Chicken Thighs	2.35	0.73
111	Golden	Golden Frozen Chicken Wings	3.48	1.25
112	Golden	Golden Lemon Popsicles	1.13	0.41
113	Faux Products	Faux Products Silky Smooth Hair Conditioner	2.29	1.05
114	Faux Products	Faux Products Tartar Control Toothpaste	0.92	0.43
115	Faux Products	Faux Products Whitening Toothpast	0.65	0.2
116	Faux Products	Faux Products Toothpaste	3.97	1.51
117	Faux Products	Faux Products Deodorant	2.75	1.29
118	Faux Products	Faux Products Conditioning Shampoo	1.48	0.46
119	Faux Products	Faux Products Extra Moisture Shampoo	2.28	1.03
120	Faux Products	Faux Products Angled Toothbrush	2.26	0.75
121	Faux Products	Faux Products Apricot Shampoo	2.98	1.34
122	Faux Products	Faux Products Childrens Aspirin	1.99	0.84
123	Faux Products	Faux Products Buffered Aspirin	3.84	1.54
124	Faux Products	Faux Products 200 MG Ibuprofen	1.21	0.41
125	Faux Products	Faux Products 200 MG Acetominifen	2.32	0.88
126	Faux Products	Faux Products HCL Nasal Spray	1.61	0.77
127	Faux Products	Faux Products Dishwasher Detergent	1.74	0.85
128	Faux Products	Faux Products Multi-Symptom Cold Remedy	0.53	0.19
129	Faux Products	Faux Products Childrens Cold Remedy	1.55	0.67
130	Faux Products	Faux Products Laundry Detergent	2.23	0.83
131	Faux Products	Faux Products Mint Mouthwash	2.4	0.74
132	Denny	Denny 60 Watt Lightbulb	1.92	0.71
133	Denny	Denny Plastic Forks	0.7	0.29
134	Denny	Denny Plastic Spoons	2.43	1.09
135	Denny	Denny Plastic Knives	3.89	1.71
136	Denny	Denny C-Size Batteries	3.87	1.86
137	Denny	Denny 100 Watt Lightbulb	3.7	1.78
138	Denny	Denny AAA-Size Batteries	2.7	1.22
139	Denny	Denny Paper Plates	1.79	0.84
140	Denny	Denny Paper Cups	1.82	0.8
141	Denny	Denny 75 Watt Lightbulb	3.93	1.97
142	Denny	Denny Toilet Bowl Cleaner	2.32	1.14
143	Denny	Denny Counter Cleaner	2.46	1.03
144	Denny	Denny Glass Cleaner	0.51	0.25
145	Denny	Denny 25 Watt Lightbulb	2.27	0.73
146	Denny	Denny AA-Size Batteries	3.83	1.3
147	Denny	Denny D-Size Batteries	0.64	0.25
148	Denny	Denny Paper Towels	3.95	1.3
149	Denny	Denny Soft Napkins	2.49	1.1
150	Denny	Denny Scented Tissue	3.45	1.55
151	Denny	Denny Toilet Paper	2.91	1.08
152	Denny	Denny Tissues	2.89	1.04
153	Denny	Denny Scented Toilet Tissue	2.72	0.95
154	Denny	Denny Room Freshener	1.96	0.67
155	Denny	Denny Frying Pan	3.81	1.79
156	Denny	Denny Copper Cleaner	0.55	0.23
157	Denny	Denny Bees Wax Candles	2.95	1.3
158	Denny	Denny Silver Cleaner	1.58	0.54
159	Denny	Denny Copper Pot Scrubber	1.71	0.74
160	Denny	Denny Economy Toilet Brush	2.13	1.04
161	Denny	Denny Scissors	1.52	0.64
162	Denny	Denny Large Sponge	2.85	1.23
163	Denny	Denny Screw Driver	2.38	0.83
164	Ship Shape	Ship Shape Extra Lean Hamburger	2.97	1.46
165	Ship Shape	Ship Shape Seasoned Hamburger	1.75	0.61
166	Robust	Robust Monthly Sports Magazine	2.47	1.04
167	Robust	Robust Monthly Auto Magazine	0.6	0.22
168	Robust	Robust Monthly Computer Magazine	1.26	0.57
169	Robust	Robust Monthly Home Magazine	1.98	0.71
170	Robust	Robust Monthly Fashion Magazine	3.2	1.44
171	High Top	High Top Summer Squash	2.95	1.27
172	High Top	High Top Corn on the Cob	3.32	1.03
173	High Top	High Top Asparagus	1.43	0.6
174	High Top	High Top Sweet Peas	1.71	0.62
175	High Top	High Top New Potatos	3.85	1.58
176	High Top	High Top Beets	2.27	0.75
177	High Top	High Top Prepared Salad	1.66	0.81
178	High Top	High Top Onions	1.33	0.41
179	High Top	High Top Green Pepper	2.75	0.88
180	High Top	High Top Shitake Mushrooms	0.69	0.32
181	High Top	High Top Lettuce	0.93	0.35
182	High Top	High Top Elephant Garlic	1.84	0.66
183	High Top	High Top Red Pepper	2.41	1.04
184	High Top	High Top Garlic	3.4	1.67
185	High Top	High Top Potatos	0.57	0.22
