TransactionID,Product,Quantity,UnitPrice,TotalCost
T001,Ice Cream,5,$0.50 ,$2.50 
T002,Banana,10,$0.30 ,$3.00 
T003,Orange,8,$0.40 ,$3.20 
T004,Milk,2,$3.50 ,$7.00 
T005,Bread,1,$2.00 ,$2.00 
T006,Butter,1,$4.00 ,$4.00 
T007,Cheese,3,$5.00 ,$15.00 
T008,Chicken,2,$8.00 ,$16.00 
T009,Rice,5,$1.50 ,$7.50 
T010,Ice Cream,3,$2.00 ,$6.00 
T011,Tomato,7,$0.80 ,$5.60 
T012,Potato,10,$0.60 ,$6.00 
T013,Carrot,6,$0.75 ,$4.50 
T014,Onion,4,$1.00 ,$4.00 
T015,Eggs,12,$0.25 ,$3.00 
T016,Beef,1,$12.00 ,$12.00 
T017,Salmon,2,$10.00 ,$20.00 
T018,Tuna,3,$6.00 ,$18.00 
T019,Yogurt,4,$1.50 ,$6.00 
T020,Juice,2,$3.00 ,$6.00 
T021,Cereal,2,$4.50 ,$9.00 
T022,Soap,3,$2.50 ,$7.50 
T023,Shampoo,1,$6.00 ,$6.00 
T024,Toilet Paper,2,$3.00 ,$6.00 
T025,Toilet Paper,6,$1.20 ,$7.20 
T026,Lotion,1,$8.00 ,$8.00 
T027,Cookies,4,$2.50 ,$10.00 
T028,Chocolate,5,$1.75 ,$8.75 
T029,Orange,3,$2.25 ,$6.75 
T030,Milk,6,$1.50 ,$9.00 
T031,Bread,2,$7.00 ,$14.00 
T032,Butter,3,$4.00 ,$12.00 
T033,Cheese,10,$1.00 ,$10.00 
T034,Chicken,4,$3.50 ,$14.00 
T035,Rice,2,$12.00 ,$24.00 
T036,Pasta,1,$25.00 ,$25.00 
T037,Tomato,3,$1.25 ,$3.75 
T038,Potato,4,$1.50 ,$6.00 
T039,Peppers,5,$2.00 ,$10.00 
T040,Cheese,2,$4.50 ,$9.00 
T041,Tuna,3,$5.00 ,$15.00 
T042,Yogurt,2,$4.00 ,$8.00 
T043,Juice,1,$6.00 ,$6.00 
T044,Cereal,2,$3.50 ,$7.00 
T045,Soap,3,$2.75 ,$8.25 
T046,Pear,4,$1.75 ,$7.00 
T047,Pear,5,$2.00 ,$10.00 
T048,Peach,3,$2.25 ,$6.75 
T049,Potato,2,$8.50 ,$17.00 
T050,Ice Cream,1,$5.00 ,$5.00 
